Designator,Mid X,Mid Y,Rotation,Layer
R7,90.6994,-51.689,180.0,top
R70,136.3716,-127.122867,0.0,top
R71,136.3716,-128.105,0.0,top
R72,136.6774,-103.7844,270.0,top
R73,136.7028,-110.5662,90.0,top
R74,137.0076,-101.8058,270.0,top
R75,137.0076,-112.4966,270.0,top
R76,137.29,-140.3,270.0,top
R77,137.9816,-112.4966,90.0,top
R78,137.99004,-101.8058,90.0,top
R79,138.27,-140.3,270.0,top
R8,91.6432,-54.1274,270.0,top
R80,138.2962,-123.1848,0.0,top
R81,138.2962,-124.1754,0.0,top
R82,138.97248,-101.8058,90.0,top
R83,138.9722,-112.4966,270.0,top
R84,139.95492,-101.8058,270.0,top
R85,139.9628,-112.4966,90.0,top
R86,140.39,-84.1248,180.0,top
R87,140.39,-85.1154,0.0,top
R88,140.76,-122.874,0.0,top
R89,140.7722,-124.4996,0.0,top
R9,92.0857,-48.26,0.0,top
R90,140.93736,-101.8058,90.0,top
R91,140.9534,-112.4946,270.0,top
R92,143.7826,-122.874,0.0,top
R93,143.7894,-103.7082,0.0,top
R94,143.7894,-104.691543,0.0,top
R95,143.7894,-105.674886,0.0,top
R96,143.7894,-106.658229,0.0,top
R97,143.7894,-107.641571,180.0,top
R98,143.7894,-108.624914,0.0,top
R99,143.7894,-109.608257,0.0,top
RV1,134.2228,-95.758,90.0,top
RV2,139.7264,-95.758,90.0,top
RV3,139.5984,-116.32,0.0,top
RV4,145.23,-95.758,90.0,top
SW1,101.07,-131.48,90.0,top
TH1,113.52,-99.45,90.0,top
U1,85.2932,-52.832,0.0,top
U10,134.5692,-145.3896,0.0,top
U11,140.0048,-107.188,180.0,top
U12,150.0076,-141.4486,180.0,top
U13,150.0076,-144.533133,180.0,top
U14,151.7284,-51.9684,270.0,top
U15,152.6794,-87.1982,270.0,top
U2,86.487,-139.065,180.0,top
U3,90.424,-139.03,180.0,top
U4,108.6646,-131.4597,90.0,top
U5,118.5926,-82.5109,90.0,top
U6,119.7288,-122.4136,0.0,top
U7,119.7356,-93.7002,90.0,top
U8,121.4482,-82.5109,90.0,top
U9,131.4268,-108.1132,90.0,top
Y1,113.91,-131.77,270.0,top
Y2,117.265,-136.9516,0.0,top
